,7,8,9,10,13,16,18,19,20,25,27,28,29,32,34,36,63,64,66,67,69,70,71,73,75,77,78,79,80,81,82,83,84,86,87,88,89,90,92,93,94,95,96,97,98,99,100,101,102,104,105,107,109,110,112,143,148,149
mmu-let-7a-5p,18.165,17.817,16.264,16.034166,16.468,17.7453,15.968882,16.721,16.576,16.463,16.46,16.105,16.681,17.268,17.12,17.33,20.8254,16.928,19.763775,16.166,16.36,16.102577,17.863,17.263,17.39363,17.587372,17.268,17.12,17.33,17.98,16.89,16.733,17.263,17.127,16.934,18.119,16.763,16.392426,16.837,15.937906,16.369,16.628,17.956,16.755,16.9,17.773,17.145,16.962,16.425,20.523,18.851,18.096,21.244,21.13,17.971,16.567,15.992,16.905
mmu-let-7b-5p,18.04,16.787,16.513,15.905052,17.154,16.257978,15.825196,17.414,16.87,16.784,16.939,16.545,16.906,17.587,17.439,18.106,19.255762,17.106,19.329704,16.894,16.469,16.466764,18.077,17.402,17.641771,16.606941,17.587,17.439,18.106,19.944,17.114,16.776,17.402,17.84,17.302,18.887,17.447,17.015158,17.266,16.152021,17.043,17.486,17.82,17.429,17.791,18.789,17.716,17.184,17.045,20.766,20.118,19.15,20.808,21.126,18.654,16.855,16.77,17.077
mmu-let-7c-5p,17.036,16.994,15.732,15.174334,15.968,15.708723,15.06893,16.102,15.938,16.17,16.116,15.544,16.286,16.593,16.456,16.624,18.349277,16.371,18.583607,15.889,15.866,15.502965,17.307,16.512,16.80271,15.583338,16.593,16.456,16.624,17.712,16.081,16.087,16.512,16.777,16.337,17.701,16.234,15.959084,16.273,15.44397,15.993,16.394,17.373,16.381,16.395,18.091,16.289,16.305,15.864,19.596,18.71,17.824,19.85,19.929,17.532,16.009,15.82,16.546
mmu-let-7d-5p,19.002,18.922,17.792,17.348244,17.644,17.658846,17.02917,17.857,17.449,17.995,17.662,17.029,17.887,18.597,18.194,18.946,20.11922,18.149,20.864002,17.566,17.8,17.229156,19.064,17.331,18.715853,17.312853,18.597,18.194,18.946,19.684,18.157,17.777,17.331,18.679,18.096,19.773,18.033,17.477644,17.914,16.813208,17.899,18.049,19.493,18.005,18.509,20.188,18.12,17.661,17.659,22.954,21.634,19.062,21.738,21.096,19.225,17.355,17.302,18.781
mmu-let-7e-5p,18.602,18.44,17.067,16.435028,17.365,17.094238,16.35433,17.413,17.503,17.157,17.195,16.609,17.57,18.106,18.102,18.12,20.425358,18.046,20.509954,17.225,17.116,17.340582,19.037,18.684,17.955435,17.455256,18.106,18.102,18.12,19.425,17.544,18.023,18.684,18.03,17.987,18.606,17.826,17.17546,17.871,16.78033,17.476,17.758,18.989,18.135,18.032,19.052,18.01,18.354,17.454,21.48,20.09,19.328,21.812,22.189,19.306,17.243,16.262,18.349
mmu-let-7f-5p,18.183,18.193,16.178,15.87513,16.541,15.853524,15.5559,16.427,16.321,16.566,16.237,15.804,16.341,17.454,17.471,17.12,19.394999,17.315,20.103525,16.362,16.143,16.377634,18.003,17.328,17.470568,16.95555,17.454,17.471,17.12,17.578,16.6,16.398,17.328,17.277,17.132,17.945,16.859,16.066177,16.857,15.794915,16.407,16.762,17.963,16.216,16.816,18.335,16.974,17.034,16.374,20.82,19.69,18.926,21.515,21.602,17.997,16.513,15.788,17.436
mmu-let-7g-5p,19.268,19.181,17.488,17.922043,17.559,17.356216,17.480425,17.87,17.609,18.207,17.66,17.182,18.14,18.636,18.884,18.474,20.5848,18.881,21.589874,17.921,17.887,17.236738,19.284,18.335,19.669863,17.136978,18.636,18.884,18.474,19.333,18.46,18.029,18.335,18.431,18.361,19.322,18.266,16.98311,18.184,16.410233,17.54,17.782,19.322,18.135,18.09,20.38,18.276,18.492,17.435,23.868,22.656,19.703,21.792,21.748,18.769,17.268,16.901,19.061
mmu-let-7i-5p,17.894,18.289,16.573,16.274595,17.034,16.980549,15.851348,17.041,16.058,16.988,16.657,16.422,17.454,17.373,17.666,17.373,20.21377,17.95,19.969126,16.793,16.696,16.708382,18.114,16.616,20.203861,16.797009,17.373,17.666,17.373,18.848,16.885,16.794,16.616,17.457,16.978,18.621,17.304,16.725027,16.906,16.40345,16.662,16.979,18.202,17.046,17.276,19.855,17.071,16.226,16.765,23.61,21.515,19.051,21.248,18.051,18.971,16.599,16.728,17.138
mmu-miR-106a-5p,21.658,22.24,20.825,20.439098,20.553,20.622784,19.86002,20.718,19.572,20.651,20.639,19.991,21.415,21.668,21.23,22.683,23.681376,21.655,23.5121,20.496,20.797,22.208382,22.244,21.541,24.90735,22.486185,21.668,21.23,22.683,25.972,21.181,20.899,21.541,21.499,21.499,22.95,20.738,19.207216,20.799,19.455616,21.128,22.204,21.533,21.317,22.211,25.523,21.025,21.669,20.499,29.357,27.044,22.066,24.279,23.948,23.833,20.299,20.428,21.725
mmu-miR-106b-5p,21.11,21.462,20.161,19.601551,19.316,19.584167,18.923708,20.061,19.642,20.066,19.566,18.957,20.834,20.716,20.529,21.131,22.196838,20.786,22.867462,19.663,19.845,18.755564,21.265,20.532,23.701107,19.056343,20.716,20.529,21.131,24.123,20.53,19.862,20.532,20.924,20.553,22.892,19.44,18.223618,20.892,17.898483,20.122,19.958,21.735,20.084,21.565,24.949,20.057,20.635,19.349,29.627,27.442,21.25,23.16,22.791,23.927,18.84,18.077,21.665
mmu-miR-1192,39.568,34.846,33.932,33.115635,35.644,32.750004,33.245342,36.156,33.546,35.249,40,37.33,35.225,34.804,40,35.268,34.140812,33.893,38.713715,34.913,36.443,31.636278,32.985,34.909,35.418648,34.166416,34.804,40,35.268,40,37.795,33.279,34.909,34.387,33.511,34.795,34.384,32.66013,39.063,32.21471,34.404,35.068,40,34.679,40,40,36.373,40,34.665,40,40,38.137,40,34.39,40,33.726,34.948,37.599
mmu-miR-126a-5p,16.77,16.558,15.254,15.35043,15.139,14.968328,14.570937,15.145,14.985,15.357,15.305,14.995,15.419,15.781,15.852,15.876,18.534908,15.894,18.853281,14.962,15.06,14.939345,16.108,15.557,18.83821,15.355853,15.781,15.852,15.876,16.324,15.561,15.403,15.557,15.913,15.538,16.905,15.375,14.824246,15.473,14.572338,15.208,15.412,16.79,15.092,15.509,16.859,15.523,15.697,15.061,19.969,19.152,16.678,19.505,19.362,16.762,15.343,15.172,16.535
mmu-miR-128-3p,25.28,25.684,23.601,23.128258,23.52,22.863268,22.851364,24.084,24.671,23.115,23.37,23.346,24.837,25.788,24.953,25.93,25.974272,24.068,26.280464,23.772,23.927,22.55399,25.317,25.183,26.46966,22.689709,25.788,24.953,25.93,26.797,24.556,24.762,25.183,24.045,24.282,27.304,23.919,22.367748,24.421,22.61682,24.877,24.961,24.966,25.026,26.419,27.411,24.864,25.203,23.88,29.648,30.507,24.528,27.472,27.52,27.236,23.148,22.489,25.319
mmu-miR-130a-3p,19.973,20.362,18.293,18.127655,18.252,18.844648,17.809656,18.395,18.185,18.887,18.703,17.933,19.737,19.034,18.57,19.723,21.967175,19.325,21.64086,18.123,18.352,17.878923,19.816,18.7,22.755182,17.878923,19.034,18.57,19.723,21.172,18.537,18.639,18.7,19.585,18.434,21.866,18.453,17.237366,18.738,17.14366,18.844,18.583,19.962,18.63,20.112,22.805,18.691,18.992,18.075,25.841,24.175,19.882,22.113,21.677,21.424,17.902,17.995,18.833
mmu-miR-130b-3p,22.96,23.333,21.219,19.915974,21.338,21.090008,19.97613,21.842,21.813,21.96,21.32,21.049,22.441,22.295,22.09,23.466,24.229548,22.621,23.927273,21.322,21.643,20.225986,23.104,21.993,24.956453,20.865896,22.295,22.09,23.466,25.533,22.139,22.005,21.993,22.59,22.017,24.944,21.682,20.197624,22.495,19.766487,22.516,22.095,22.78,22.078,23.922,25.542,22.38,22.817,21.65,28.718,27.563,23.427,26.084,25.154,24.258,20.674,20.456,21.989
mmu-miR-135a-5p,29.93,30.009,27.474,27.49326,27.96,27.154772,27.468065,28.679,27.487,27.878,27.46,27.286,28.109,28.854,28.853,28.289,29.618097,27.847,28.954199,27.88,27.599,28.396667,28.055,26.946,33.808464,26.829311,28.854,28.853,28.289,29.247,27.971,27.168,26.946,28.972,28.344,29.313,27.698,25.799545,28.724,26.548603,27.646,28.925,28.437,27.889,29.116,31.5,28.329,28.03,27.073,33.373,34.512,29.524,32.66,32.716,30.116,27.159,25.423,29.437
